"Delta","BusinessDays","CurrentDays","Volatility"
1,1,1,0.0074
10,1,1,0.0053
25,1,1,0.0048
37,1,1,0.0046
50,1,1,0.0045
63,1,1,0.0046
75,1,1,0.0048
90,1,1,0.0054
99,1,1,0.0076
1,14,20,0.0074
10,14,20,0.0053
25,14,20,0.0048
37,14,20,0.0046
50,14,20,0.0045
63,14,20,0.0046
75,14,20,0.0048
90,14,20,0.0054
99,14,20,0.0076
1,36,50,0.0813
10,36,50,0.0324
25,36,50,0.021
37,36,50,0.0183
50,36,50,0.0142
63,36,50,0.0182
75,36,50,0.0208
90,36,50,0.0324
99,36,50,0.0798
1,59,83,0.2321
10,59,83,0.1083
25,59,83,0.0759
37,59,83,0.0661
50,59,83,0.0618
63,59,83,0.0611
75,59,83,0.0648
90,59,83,0.0819
99,59,83,0.1637
1,79,111,0.2614
10,79,111,0.1258
25,79,111,0.0889
37,79,111,0.0778
50,79,111,0.0728
63,79,111,0.0718
75,79,111,0.0757
90,79,111,0.0943
99,79,111,0.1823
1,101,143,0.2679
10,101,143,0.1351
25,101,143,0.0968
37,101,143,0.0854
50,101,143,0.0744
63,101,143,0.0788
75,101,143,0.0824
90,101,143,0.1008
99,101,143,0.1847
1,162,232,0.4464
10,162,232,0.3358
25,162,232,0.2959
37,162,232,0.2802
50,162,232,0.2692
63,162,232,0.2618
75,162,232,0.258
90,162,232,0.2607
99,162,232,0.2945
1,223,323,0.6866
10,223,323,0.5525
25,223,323,0.5041
37,223,323,0.4865
50,223,323,0.4743
63,223,323,0.4673
75,223,323,0.4653
90,223,323,0.4744
99,223,323,0.5344
1,288,415,1.5958
10,288,415,1
25,288,415,0.8187
37,288,415,0.755
50,288,415,0.7149
63,288,415,0.6945
75,288,415,0.6936
90,288,415,0.7428
99,288,415,1.0158
1,351,510,1.7194
10,351,510,1.2585
25,351,510,1.099
37,351,510,1.0445
50,351,510,1.0092
63,351,510,0.9914
75,351,510,0.9912
90,351,510,1.0349
99,351,510,1.2693
1,475,689,3.1688
10,475,689,2.4089
25,475,689,2.1338
37,475,689,2.0261
50,475,689,1.9482
63,475,689,1.8961
75,475,689,1.8684
90,475,689,1.8849
99,475,689,2.1196
1,602,874,3.7608
10,602,874,2.8855
25,602,874,2.561
37,602,874,2.431
50,602,874,2.3354
63,602,874,2.2697
75,602,874,2.2321
90,602,874,2.2429
99,602,874,2.5059
1,1605,2337,3.7705
10,1605,2337,2.8852
25,1605,2337,2.5601
37,1605,2337,2.4305
50,1605,2337,2.3354
63,1605,2337,2.2702
75,1605,2337,2.2329
90,1605,2337,2.2432
99,1605,2337,2.4996
